"","Season1","Season2","Season3","Season4","quarter","week_num","Pre_weaning_mortality","MYCOatPlacement","PRRSatPlacement","avg_parity_at_farrow3","Lactation_days3","LateralCoronavirus","LateralPRRS","LateralEnteric","OtherHealthIssue","mortality_60days"
"2237",1,0,0,0,1,11,0.11562,1,1,3.3,26.5,0,0,0,0,4.55089820359281
"2238",1,0,0,0,1,12,0.125708,1,1,4.27098301952177,18.4450849023911,0,0,0,0,6.67779632721202
"2239",1,0,0,0,1,7,9.424188,1,0,4.4,21.8,1,1,0,0,27.585579024035
"2240",1,0,0,0,1,11,0.137088,1,1,3.56741197367046,18.1584682896249,0,0,0,0,8.79558011049724
"2241",1,0,0,0,1,12,0.117736,1,1,4,19,0,0,0,0,13.1652661064426
"2242",1,0,0,0,1,12,0.132375,1,1,4,16.3,0,0,0,0,7.20858895705521
"2243",1,0,0,0,1,11,0.166581,1,1,4.69731294374659,22.1708465319498,1,0,0,0,9.56981826547044
"2244",1,0,0,0,1,9,0.1208,0,0,3.89985144837831,17.1017826194603,0,1,0,0,2.68783597949744
"2245",1,0,0,0,1,10,0.169766,0,0,2.53251864125932,19.9374896437448,0,1,0,0,3.2258064516129
"2246",1,0,0,0,1,10,0.167434,0,1,3.9,18.5,0,0,0,0,7.93019659818865
"2247",1,0,0,0,1,11,0.122427,0,0,4.48761040532365,16.2256624319419,0,1,0,0,1.59574468085106
"2248",1,0,0,0,1,11,0.145086,0,1,4.1,18.8,0,0,0,0,3.12083729781161
"2249",1,0,0,0,1,8,0.103061,0,0,1,20,0,1,0,0,2.97536029753603
"2250",1,0,0,0,1,9,0.123481,0,0,3.5,15.6,0,0,0,0,1.9415309082794
"2251",1,0,0,0,1,9,0.118982,1,1,3.24768978401531,15.4003554178438,1,0,0,0,25.9365994236311
"2252",1,0,0,0,1,9,9.094575,1,0,3.8,19.2,0,0,0,0,2.88562434417629
"2253",1,0,0,0,1,10,0.141008,0,1,3.5,23.8,0,0,0,0,5.12519561815336
"2254",1,0,0,0,1,11,0.109416,1,1,4.5,16.6,0,0,0,0,10.7008289374529
"2255",1,0,0,0,1,7,0.126637,0,1,4.2,18.5,0,0,0,0,1.46270112140419
"2256",1,0,0,0,1,7,0.134328,0,1,4.1,19.6,1,0,0,0,2.35294117647059
"2257",1,0,0,0,1,8,9.93353,1,1,3.59807994963802,17.5,0,0,0,0,3.49895031490553
"2258",1,0,0,0,1,9,0.134428,1,1,4,19,0,0,0,0,5.76
"2259",1,0,0,0,1,9,0.1208,0,0,3.89985144837831,17.1017826194603,0,1,0,0,4.55433932759969
"2260",1,0,0,0,1,10,0.131687,1,1,3.37632675239993,19.6038761094005,1,0,1,0,22.9813664596273
"2261",1,0,0,0,1,11,0.144547,1,1,4.66325852036575,19.1575727348296,0,1,0,0,4.41901755770369
"2262",1,0,0,0,1,11,0.117007,1,1,3.50389105058366,17.6964980544747,0,0,0,0,4.6875
"2263",1,0,0,0,1,11,9.685066,1,1,4.14889120545868,19.0996588324488,1,0,0,0,3.49420849420849
"2264",1,0,0,0,1,11,0.124692,0,1,4.3,18.9,0,0,1,0,3.15635832877212
"2265",1,0,0,0,1,12,0.151944,1,0,3.90373540856031,16.9261478599222,0,1,0,0,3.79544546544147
"2266",1,0,0,0,1,12,8.967596,1,0,3.5,18.2,0,0,0,0,2.01938610662359
"2267",1,0,0,0,1,12,0.138211,0,1,4.9,19.5,0,0,0,0,5.61023622047244
"2268",1,0,0,0,1,12,0.138211,0,1,4.9,19.5,0,0,0,0,5.69823434991974
"2269",1,0,0,0,1,12,0.162727,1,1,3.96762999452655,17.1531800766284,1,0,0,0,8.03472067660806
"2270",1,0,0,0,1,12,0.132375,1,1,4,16.3,0,0,0,0,8.16741162129216
"2271",1,0,0,0,1,12,0.137882,0,0,4.4,16,0,0,0,0,3.1541066892464
"2272",0,1,0,0,2,14,0.108991,1,1,3.8,26,0,0,0,0,5.71317528177225
"2273",0,1,0,0,2,14,0.108991,1,1,3.8,26,0,0,0,0,5.89802130898021
"2274",1,0,0,0,1,9,0.156097,1,1,3.45082860385925,18.973484676504,0,0,0,0,9.41086457536343
"2275",1,0,0,0,1,9,0.116143,0,0,4.1,15.8,0,0,0,0,1.07679804957334
"2276",1,0,0,0,1,11,9.685066,1,1,4.14889120545868,19.0996588324488,1,0,0,0,3.57428115015974
"2277",1,0,0,0,1,13,0.122876,0,0,1.3,19.6,0,1,0,0,3.22317421460628
"2278",1,0,0,0,1,10,0.114606,0,0,1,21,0,1,0,0,1.41129032258065
"2279",1,0,0,0,1,11,0.178319,1,1,6.39988890946121,22.2688761340492,0,0,0,0,0.343642611683849
"2280",1,0,0,0,1,12,0.151944,1,0,3.90373540856031,16.9261478599222,0,0,0,0,3.22858372793801
"2281",1,0,0,0,1,12,8.803611,1,1,3.28166439290587,18.3665211459754,0,0,0,0,22.1978460311129
"2282",1,0,0,0,1,12,0.162727,1,1,3.96762999452655,17.1531800766284,1,0,0,0,7.62476894639556
"2283",1,0,0,0,1,13,0.128742,1,1,4.3,18.5,0,0,0,0,1.64948453608247
"2284",1,0,0,0,1,10,0.135202,1,0,5,21.3,0,0,0,0,3.96319886765747
"2285",1,0,0,0,1,12,0.126129,0,0,5,14.7,1,0,0,0,7.14924039320822
"2286",1,0,0,0,1,9,0.165442,1,1,4.5,17.8,0,0,0,0,9.11991491624568
"2287",1,0,0,0,1,11,0.137088,1,1,3.56741197367046,18.1584682896249,0,0,0,0,8.3538633818589
"2288",1,0,0,0,1,13,0.258608,0,1,4,17.9,1,0,0,0,23.7041928029053
"2289",1,0,0,0,1,11,0.122427,0,0,4.48761040532365,16.2256624319419,0,1,0,0,1.62671232876712
